date,Neutral,Mission,"""Full-Suite""",Long-Term,Negative,Doubts,Hopes,sample size with doubles,real sample size,closing stock price PTOTF,closing stock price PAT.TO,# of corona comments in sample,% of comments related to corona
6-Dec,5,0,0,5,4,27,73,114,108,$1.10,$1.46,0,0.0%
7-Jan,16,10,1,13,9,25,35,109,107,$1.01,$1.30,0,0.0%
27-Jan,17,1,0,9,2,12,64,105,105,$1.03,$1.34,0,0.0%
2-Feb,14,2,0,2,1,23,62,104,100,$1.08,$1.44,0,0.0%
11-Feb,21,2,0,2,0,20,62,107,101,$1.06,$1.39,0,0.0%
21-Feb,13,1,0,2,2,16,31,65,59,$1.02,$1.32,1,1.7%
27-Feb,14,0,0,0,1,39,57,111,99,$0.83,$1.10,16,16.2%
5-Mar,27,0,0,0,3,25,52,107,105,$0.85,$1.12,2,1.9%
12-Mar,27,0,0,0,3,22,59,111,97,$0.62,$0.84,16,16.5%
20-Mar,8,0,0,0,2,3,17,30,29,$0.41,$0.58,4,13.8%
26-Mar,29,0,0,8,0,24,35,96,84,$0.52,$0.71,20,23.8%
2-Apr,20,0,0,2,0,5,17,44,42,$0.51,$0.72,0,0.0%
4/9,14,0,0,0,1,12,23,50,47,$0.54,$0.76,17,36.2%
4/16,27,0,0,0,2,11,23,67,63,$0.54,$0.76,4,6.3%
4/23,28,0,0,0,2,14,20,64,64,$0.51,$0.71,4,6.3%
4/28,15,0,0,0,3,20,25,63,57,$0.50,$0.70,2,3.5%
5/8,7,0,0,0,5,13,15,40,38,$0.49,$0.69,3,7.9%
5/14,30,0,0,0,1,25,15,71,71,$0.43,$0.60,0,0.0%
5/21,32,0,0,0,6,16,34,88,88,$0.55,$0.78,6,6.8%
